Archivo,Metrica_Right,Metrica_Left
appass_1.mid,4,3
appass_2.mid,5,4
appass_3.mid,3,3
beethoven_hammerklavier_1.mid,4,6
beethoven_hammerklavier_2.mid,4,9
beethoven_hammerklavier_3.mid,5,4
beethoven_hammerklavier_4.mid,3,3
beethoven_les_adieux_1.mid,3,5
beethoven_les_adieux_2.mid,2,3
beethoven_les_adieux_3.mid,4,4
beethoven_opus10_1.mid,4,4
beethoven_opus10_2.mid,5,4
beethoven_opus10_3.mid,4,4
beethoven_opus22_1.mid,5,5
beethoven_opus22_2.mid,2,2
beethoven_opus22_3.mid,2,3
beethoven_opus22_4.mid,4,4
beethoven_opus90_1.mid,3,7
beethoven_opus90_2.mid,3,4
elise.mid,3,6
mond_1.mid,1,5
mond_2.mid,5,4
mond_3.mid,5,7
pathetique_1.mid,6,9
pathetique_3.mid,2,5
waldstein_1.mid,3,5
waldstein_2.mid,5,4
waldstein_3.mid,0,4
