Archivo,Pista 1,Pista 2
appass_1.mid,3.1658163265306123,2.9267352185089974
appass_2.mid,2.437984496124031,2.032967032967033
appass_3.mid,5.74609375,5.332665330661323
beethoven_hammerklavier_1.mid,2.2085004009623095,2.4894204231830726
beethoven_hammerklavier_2.mid,1.6240208877284594,1.8926174496644295
beethoven_hammerklavier_3.mid,1.2697628458498025,1.4876210979547901
beethoven_hammerklavier_4.mid,2.4250527797325825,2.8236994219653178
beethoven_les_adieux_1.mid,2.3936567164179103,2.5085836909871246
beethoven_les_adieux_2.mid,1.3928571428571428,1.912162162162162
beethoven_les_adieux_3.mid,3.2255389718076284,3.0351201478743066
beethoven_opus10_1.mid,2.5587583148558757,3.9900662251655628
beethoven_opus10_2.mid,1.7747252747252746,1.9015151515151516
beethoven_opus10_3.mid,3.4814814814814814,3.1365461847389557
beethoven_opus22_1.mid,3.813614262560778,4.717821782178218
beethoven_opus22_2.mid,1.6637931034482758,2.7674418604651163
beethoven_opus22_3.mid,5.224489795918367,5.298701298701299
beethoven_opus22_4.mid,1.8101265822784811,2.1573896353166986
beethoven_opus90_1.mid,2.1051401869158877,2.326975476839237
beethoven_opus90_2.mid,2.5254901960784313,3.6090373280943027
elise.mid,4.024390243902439,4.9868421052631575
mond_1.mid,2.659090909090909,4.430939226519337
mond_2.mid,3.1404958677685952,3.45679012345679
mond_3.mid,3.782934131736527,5.835555555555556
pathetique_1.mid,3.2515243902439024,6.128787878787879
pathetique_3.mid,3.007537688442211,2.5081967213114753
waldstein_1.mid,5.027925531914893,4.706325301204819
waldstein_2.mid,1.403361344537815,1.3584905660377358
waldstein_3.mid,14.75,3.1439688715953307
